id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type
az-001,geography,0,Fransanın paytaxtı hansı şəhərdir?,Paris,Parızsı,Parızsı,0.0,0.0,
az-002,geography,1,Hansı şəhər Amerika Birləşmiş Ştatlarının paytaxtıdır?,Vaşinqton,Washington,Washington,0.0,0.0,
az-010,geography,1,Hansı şəhər Çinin paytaxtıdır?,Pekin,Beijing,Beijing,0.0,0.0,
az-011,geography,2,Meksikanın paytaxtının adı nədir?,Mexiko,Meksikanın paytaxtı Meksik Şəhəridir,Meksikanın paytaxtı Meksik Şəhəridir.,0.0,0.0,
az-013,geography,0,Amerika Birləşmiş Ştatlarının pul vahidi nədir?,ABŞ dolları,Dollar,Dollar,0.0,0.0,
az-018,geography,1,Çində hansı pul vahidi işlənir?,Çin yuanı,Yuan,Yuan,1.0,0.0,
az-025,science,0,Qızıl elementinin kimyəvi simvolu nədir?,Au,Cu,Cu,0.0,0.0,
az-029,science,0,Oksigen elementinin kimyəvi simvolu nədir?,O,O₂,O₂,0.0,0.0,
az-037,history,0,İlham Əliyev hansı ildə anadan olub?,1961,1950 ildə anadan olub,1950 ildə anadan olub.,0.0,0.286,
az-038,history,1,Heydər Əliyev neçənci ildə doğulub?,1923,1923 ildə,1923 ildə,0.0,0.8,
az-040,history,3,Şəhriyar Məmmədyarovun anadan olduğu ili yaz.,1985,1960,1960,0.0,0.0,
az-047,history,2,Nigar Camalın doğum ili hansıdır?,1980,1950,1950,0.0,0.0,
az-060,culture,3,Radik İsayevin doğum yerini yaz.,Uxul,Radik İsayevin doğum yerinin cavabı: Yerbaşır (Yerbaşır),Radik İsayevin doğum yerinin cavabı: Yerbaşır (Yerbaşır),0.0,0.0,
az-065,culture,0,Nigar Camalın peşəsi nədir?,müğənni,Nigar Camalın peşəsi nədir,"Nigar Camalın peşəsi nədir?  
Cavab: Mədəniyyətçi",0.0,0.0,
az-067,culture,2,Mariya Stadnikin əsas fəaliyyət sahəsi nədir?,güləşçi,Mariya Stadnikin əsas fəaliyyət sahəsi tibbdir,Mariya Stadnikin əsas fəaliyyət sahəsi tibbdir.,0.0,0.0,
az-068,culture,3,Şərif Şərifovun peşəsini yaz.,güləşçi,Şərif Şərifovun peşəsi — müəllim,Şərif Şərifovun peşəsi — müəllim.,0.0,0.0,
az-069,culture,0,Hidayət Heydərovun peşəsi nədir?,cüdoçu,Hidayət Heydərovun peşəsi — kimyevi mühəndis,Hidayət Heydərovun peşəsi — kimyevi mühəndis.,0.0,0.0,
az-073,language,0,Fransanın rəsmi dili hansıdır?,fransız dili,Fransanın rəsmi dili fransız diliyə əsaslanır. Bu dili fransız dilid,Fransanın rəsmi dili fransız diliyə əsaslanır. Bu dili fransız dilid,0.0,0.333,
az-078,language,1,Almaniyada hansı dil rəsmi dildir?,alman dili,"Almaniyada rəsmi dillər Almanca və şərqdəki Almaniyada Almanca, y","Almaniyada rəsmi dillər Almanca və şərqdəki Almaniyada Almanca, y",0.0,0.0,
az-079,language,2,Çinin dövlət dili necə adlanır?,Putonqhua,Mandarin,Mandarin,0.0,0.0,
az-084,language,3,Ukraynanın rəsmi dilini yaz.,ukrain dili,Ukraynada rəsmi dil – uygun dil,Ukraynada rəsmi dil – uygun dil.,0.0,0.0,
az-092,language,3,Kalmık dilinin yazı sistemini yaz.,kiril əlifbası,Kalmık dilinin yazı sistemini yaz,"Kalmık dilinin yazı sistemini yaz.  
Cavab: Hərflər (latın hərfləri) v",0.0,0.0,
az-100,history,3,Yuxarı Gövhərağa məscidinin memarının adını yaz.,Kərbəlayı Səfixan Qarabaği,Mehmed bin Mālīk,Mehmed bin Mālīk,0.0,0.0,
az-102,history,1,Möminə Xatun türbəsi kimin layihəsidir?,Əcəmi Naxçıvani,Möminə Xatun türbəsi Məhəmməd Xəlil Xəlilovun layihə,Möminə Xatun türbəsi Məhəmməd Xəlil Xəlilovun layihə,0.0,0.0,
az-511,geography,—,Zəngəzur silsiləsi hansı dağ sisteminə daxildir?,Kiçik Qafqaza,Zəngəzur silsiləsi Kaukasus dağ sisteminə daxildir,Zəngəzur silsiləsi Kaukasus dağ sisteminə daxildir.,0.0,0.0,
