id,category,variant,question,gold,prediction,raw_response,em_lenient,f1_strict,error_type
az-005,geography,0,Yaponiyanın paytaxtı hansı şəhərdir?,Tokio,Tokyo,Tokyo,0.0,0.0,
az-010,geography,1,Hansı şəhər Çinin paytaxtıdır?,Pekin,Peking,Peking,0.0,0.0,
az-012,geography,3,Avstraliyanın paytaxtını yaz.,Kanberra,Aussie,Aussie,0.0,0.0,
az-017,geography,0,Hindistanın pul vahidi nədir?,Hindistan rupisi,Rupee,Rupee,0.0,0.0,
az-025,science,0,Qızıl elementinin kimyəvi simvolu nədir?,Au,Oğün,Oğün,0.0,0.0,
az-027,science,2,Gümüşün kimyəvi işarəsi nədir?,Ag,Au,Au,0.0,0.0,
az-030,science,1,Kimyada mis hansı simvolla işarə olunur?,Cu,Oğün,Oğün,0.0,0.0,
az-034,science,1,Kimyada Azot hansı simvolla işarə olunur?,N,N₂,N₂,0.0,0.0,
az-036,science,3,Kükürd elementinin simvolunu yaz.,S,C: C,C: C,0.0,0.0,
az-038,history,1,Heydər Əliyev neçənci ildə doğulub?,1923,19. ildə,Cavab: 19. ildə,0.0,0.4,
az-039,history,2,Mehriban Əliyevanın doğum ili hansıdır?,1964,1930,1930,0.0,0.0,
az-041,history,0,Əbülfəz Elçibəy hansı ildə anadan olub?,1938,Qələbəy,Qələbəy,0.0,0.0,
az-046,history,1,Səfurə Əlizadə neçənci ildə doğulub?,1992,C: 10. ildə,C: 10. ildə,0.0,0.333,
az-049,culture,0,İlham Əliyev harada anadan olub?,Bakı,Qələb,Qələb.,0.0,0.0,
az-058,culture,1,Rafiq Radik oğlu Hüseynovun doğulduğu yer haradır?,Daşkənd,Qahraman,Qahraman,0.0,0.0,
az-066,culture,1,Samirə Əfəndi hansı peşə ilə tanınır?,müğənni,Kimyada,Cavab: Kimyada,0.0,0.0,
az-076,language,3,Yaponiyanın rəsmi dilini yaz.,yapon dili,Japoniya rəsmi dilini yaz: Japanese,Japoniya rəsmi dilini yaz: Japanese,0.0,0.333,
az-077,language,0,İtaliyanın rəsmi dili hansıdır?,italyan dili,Italiyanın rəsmi dili hansıdır,Italiyanın rəsmi dili hansıdır?,0.0,0.4,
az-079,language,2,Çinin dövlət dili necə adlanır?,Putonqhua,Cin dövlət dili — Cina dili,Cin dövlət dili — Cina dili.,0.0,0.0,
az-083,language,2,Polşanın dövlət dili necə adlanır?,polyak dili,Polşanın dövlət dili necə adlanır,Polşanın dövlət dili necə adlanır?,0.0,0.333,
az-084,language,3,Ukraynanın rəsmi dilini yaz.,ukrain dili,Ukraynanın rəsmi dilini yaz,Ukraynanın rəsmi dilini yaz.,0.0,0.4,
